ID,title,key_words
24010001,00_Debunking the Santa myth: The process and aftermath of becoming skeptical about Santa,"Santa Claus, skepticism, fantasy characters, trust, reasoning"
24010002,00_Improbable but possible: Training children to accept the possibility of unusual events,"possibility judgment, causal reasoning, similarity, modal cognition"
24010003,00_Moral identity goal characteristics: Age-related trends from early adolescence to old age,"morality, identity, goals, development"
24010004,00_Testing exploratory narrative processing as a mechanism of change in identity status processes over 4 years in college-going emerging adults,"identity development, emerging adulthood, narrative identity, dual-cycle model, exploratory processing"
24010005,00_Friendship trajectories and health across the lifespan,"friendship, social relations, self-rated health, depressive symptomatology, gender"
24010006,00_Development of infants preferential looking toward native language speakers across distinct social contexts,"preferential looking, infancy, language, social categorization, online research"
24010007,00_Time course of attention to a talkers mouth in monolingual and close-language bilingual children,"audiovisual speech, bilingualism, language proximity, selective attention, lipreading"
24010008,00_Child-level factors associated with SpanishEnglish bilingual toddlers productive vocabulary growth,"bilingual development, vocabulary, Spanish input, speech output, gesture"
24010009,00_Rethinking household size and childrens language environment,"household density, adult-to-child ratio, language abilities, vocabulary, household chaos"
24010010,00_Do you see what I see? Exploring maternal and child perceptions of childrens anxiety longitudinally,"anxiety, parents, children, actor–partner interdependence model, sensitivity"
24010011,"00_Longitudinal relations between independent walking, body position, and object experiences in home life","body position, motor development, everyday experiences, walking, objects"
24010012,"00_The development of emotion understanding in children: The importance of parents, teachers, and peers","children, emotion understanding, emotion socialization, parent–child relationship, teacher–child"
24010013,00_Children's knowledge and feelings align in response to emotional music,"emotion perception, emotion categorization, music, emotion development, prosocial behavior"
24010014,00_Shyness and inhibitory control in preschool dyads: An actorpartner model of social behavior,"shyness, inhibitory control, actor–partner independence model, social behavior, preschoolers"
24010015,00_Negative trait inference in behaviorally inhibited children influences their internalizing behaviors,"trait inference, behavioral inhibition, internalizing behaviors, temperament, social information"
24010016,00_Maternal contingent responses to distress facilitate infant soothing but not in mothers with depression or infants high in negative affect,"mother–infant interaction dynamics, infant distress, negative emotionality, maternal depression, Granger causality"
24010017,00_Talk it out or tuck it away: The contribution of maternal socialization of coping to depression in youth with early pubertal maturation,"puberty, socialization of coping, depression, adolescence, parenting"
24010018,00_Employment status and psychosocial adjustment among adolescents and parents during the COVID-19 pandemic: Multi-informant data from ecological momentary assessments,"parental employment, family well-being, COVID-19, psychosocial adjustment"
24010019,"00_Academic achievement, same- and cross-ethnic positive peer regard among Asian American and Latinx adolescents","cross-ethnic peer relationships, same-ethnic peer relationships, academic achievement, ethnicity, adolescence"
24010020,00_A cross-sectional study using self-defining memories to explore personal identity throughout adulthood,"self-defining memories, identity, autobiographical memory, adulthood, lifespan"
24010021,00_The benefits of math activities depend on the skills children bring to the table,"home math environment, math activities, board games, intervention, opportunity-propensity"
24010022,"00_Children underperform following ""math"" but not ""spatial"" task framing","math attitudes; spatial attitudes; math anxiety; math self-concept; science, technology, engineering, and math outcomes"
24010023,00_Exploring whether and how Black and White parents talk with their children about race: M(ai)cro race conversations about Black Lives Matter,"m(ai)cro, Black Lives Matter, parental race talk, racial justice"
24010024,00_Sensitive responsiveness and multiple caregiving networks among Mbendjele BaYaka hunter-gatherers: Potential implications for psychological development and well-being,"sensitive responsiveness, hunter-gatherers, allomothering, childcare, attachment theory"
24010025,00_The role of mother's and child's self-regulation on bidirectional links between harsh parenting and child externalizing problems,"harsh parenting, externalizing behavior, self-regulation, executive function, effortful control"
24010026,00_The unanticipated side effects of an attachment intervention: Parents ask higher quality questions,"foster children, conversational turns, questions, language development, sensitivity"
24010027,00_The emergence of a coherent self-concept: A longitudinal study on the development of the moral self,"moral development, moral self-concept, preschool age, self-concept structure, self-concept coherency"
24010028,00_Encouraging honesty: Developmental differences in the influence of honesty promotion techniques,"child, honesty promotion, deception"
24010029,00_Prosocial speech acts: Links to pragmatics and aging,"aging, pragmatics, audience design, prosociality"
24010030,00_The rich get richer? Children's reasoning about socioeconomic status predicts inclusion and resource bias,"subjective social status, socioeconomic status, essentialism, resource allocation, inclusion"
24010031,"00_The longitudinal role of classroom defending norms in victims' psychological adjustment, causal attributions, and social comparisons","victimization, causal attributions, psychological adjustment, defending norms, social comparisons"
24010032,00_Reinforcement sensitivity theory and externalizing problems across early adolescence: Testing within-person reciprocal associations,"reinforcement sensitivity theory, behavioral approach system/behavioral inhibition system, externalizing and temperament, conduct or oppositional problems, vulnerability or scar model"
24010033,00_Perceptions of relationship quality that predict friendship dissolution during childhood and adolescence: Social support matters more than negativity,"friendship, dissolution, friendship stability, friendship quality"
24010034,00_A changing role for transitional probabilities in word learning during the transition to toddlerhood?,"statistical learning, word learning, word segmentation, transitional probability"
